dno,name,lat,lon,size
1,Gangbuk-gu,37.640000, 127.010000, 3
2,Gangdong-gu,37.550764, 127.150355, 0
3,Gangname-gu,37.494569,127.0612573, 1
4,Gangseo-gu,37.562098, 126.821692, 1
5,Geumcheon-gu,37.460938, 126.903154, 1
6,Guro-gu,37.491931, 126.857181, 2
7,Gwanak-gu,37.467340, 126.945619, 0
8,Gwangjin-gu,37.545858, 127.086213, 0
9,Nowon-gu,37.652967, 127.080402, 0
10,Dobong-gu,37.673701, 127.031760, 1
11,Dongdaemun-gu,37.582210, 127.055530, 0
12,Dongjak-gu,37.504173, 126.951243, 0
13,Mapo-gu,37.559943, 126.905551, 1
14,Seocho-gu,37.468376, 127.034797, 0
15,Seodaemun-gu,37.578681, 126.939779, 0
16,Seongbuk-gu,37.602309, 127.016994, 0
17,Seongdong-gu,37.550599, 127.039693, 0
18,Songpa-gu,37.506082, 127.115493, 0
19,Yangcheon-gu,37.520620, 126.855020, 0
20,Yeongdeungpo-gu,37.522871, 126.910579, 0
21,Yongsan-gu,37.529971, 126.979422, 0
22,Eunpyeong-gu,37.619665, 126.925601, 0
23,Jongno-gu,37.590553, 126.973623, 1
24,Jungnang-gu,37.598309, 127.095019, 0
25,Jung-gu,37.559166, 126.994852, 1
